time,open,high,low,close,RSI_7,RSI_14
15-02-23,1.0688,1.07226,1.06544,1.0673,34.1909472,42.66465544
16-02-23,1.0673,1.06984,1.06128,1.06937,39.76219709,44.86203487
19-02-23,1.06937,1.07048,1.06702,1.06844,38.07276474,44.04530297
20-02-23,1.06844,1.06984,1.06375,1.06464,31.66020292,40.77854051
21-02-23,1.06464,1.06642,1.05992,1.06044,26.01100527,37.47059098
22-02-23,1.06044,1.06278,1.0577,1.0595,24.8530848,36.75201678
23-02-23,1.0595,1.06143,1.05362,1.05457,19.53263564,33.1602911
26-02-23,1.05457,1.062,1.05328,1.06098,39.2576554,41.20577952
27-02-23,1.06098,1.06454,1.05742,1.05753,34.02101458,38.51838352
28-02-23,1.05753,1.06915,1.05653,1.06696,53.71100699,48.42049828
01-03-23,1.06696,1.0673,1.05766,1.05969,42.34492486,42.70947057
02-03-23,1.05969,1.06388,1.05883,1.06342,48.82694068,46.2146338
05-03-23,1.06342,1.06944,1.06222,1.06831,56.33537073,50.49117574
06-03-23,1.06831,1.06946,1.0546,1.05492,38.35642034,40.90113654
07-03-23,1.05492,1.0574,1.05244,1.05432,37.72698269,40.52965845
08-03-23,1.05432,1.05913,1.05381,1.05822,44.61884792,44.08456025
09-03-23,1.05822,1.0701,1.0574,1.06386,53.33271091,48.84667869
12-03-23,1.06386,1.07486,1.06386,1.07316,64.17623796,55.56663138
13-03-23,1.07316,1.07496,1.0679,1.07333,64.35288045,55.68124351
14-03-23,1.07333,1.076,1.05161,1.05756,41.9607031,44.27281233
15-03-23,1.05756,1.06356,1.0551,1.06124,46.98304242,47.00166468
16-03-23,1.06124,1.06854,1.06081,1.06656,53.7352357,50.75585279
19-03-23,1.06656,1.07308,1.06313,1.07238,60.20408073,54.54894827
20-03-23,1.07238,1.07886,1.0704,1.07694,64.71398806,57.32267028
21-03-23,1.07694,1.09124,1.07591,1.08561,71.80231284,62.06312
22-03-23,1.08561,1.09298,1.08242,1.0832,67.41078965,60.06586877
23-03-23,1.0832,1.08388,1.07132,1.07598,55.53842445,54.41609209
26-03-23,1.07598,1.08002,1.0745,1.07992,60.02116664,56.80386029
27-03-23,1.07992,1.08487,1.07955,1.08454,64.86698253,59.48388525
28-03-23,1.08454,1.08718,1.08178,1.08453,64.84713382,59.47528377
29-03-23,1.08453,1.09264,1.08236,1.09062,71.1247948,62.98560186
30-03-23,1.09062,1.09258,1.08368,1.08422,58.34919118,57.3621937
02-04-23,1.08422,1.09166,1.07882,1.09028,65.24542296,60.92005941
03-04-23,1.09028,1.09734,1.08828,1.09566,70.33307484,63.80746651
04-04-23,1.09566,1.09699,1.08911,1.09076,60.86552979,59.49585778
05-04-23,1.09076,1.09378,1.08846,1.09217,62.55757353,60.32661629
06-04-23,1.09217,1.09242,1.08765,1.09012,58.283158,58.44956527
09-04-23,1.09012,1.09174,1.08314,1.08614,50.47187639,54.87938426
10-04-23,1.08614,1.09282,1.08588,1.09131,58.83328893,58.43133686
11-04-23,1.09131,1.10006,1.09111,1.09904,68.19839259,63.1076358
12-04-23,1.09904,1.10678,1.09767,1.10472,73.38825058,66.12335006
13-04-23,1.10472,1.1076,1.09724,1.09944,62.3526992,61.12163512
16-04-23,1.09944,1.09999,1.09092,1.09274,50.99943944,55.39546957
17-04-23,1.09274,1.0983,1.09223,1.09738,57.28363349,58.30849559
18-04-23,1.09738,1.09842,1.09172,1.09561,54.1906677,56.78500755
19-04-23,1.09561,1.09898,1.09336,1.09705,56.4238757,57.75213974
20-04-23,1.09705,1.09939,1.0938,1.09893,59.43590475,59.04092793
23-04-23,1.09893,1.10502,1.0966,1.10458,67.34897119,62.72146309
24-04-23,1.10458,1.10671,1.09642,1.09748,52.37106477,55.92111326
25-04-23,1.09748,1.10956,1.09684,1.10405,61.59235406,60.21924569
26-04-23,1.10405,1.10635,1.09922,1.1029,59.249814,59.13234115
27-04-23,1.1029,1.1045,1.09626,1.1017,56.62788597,57.95682456
30-04-23,1.1017,1.10358,1.09644,1.0977,48.31353872,54.09639657
01-05-23,1.0977,1.1008,1.09422,1.1,52.94791524,55.9147436
02-05-23,1.1,1.1092,1.1,1.10608,63.14053965,60.38238907
